#Release 14.7 - par P.20131013 (lin64)
#Copyright (c) 1995-2013 Xilinx, Inc.  All rights reserved.

#Wed Mar 18 00:43:03 2015

#
## NOTE: This file is designed to be imported into a spreadsheet program
# such as Microsoft Excel for viewing, printing and sorting. The |
# character is used as the data field separator. This file is also designed
# to support parsing.
#
#INPUT FILE:       miniSpartan6_plus_top_map.ncd
#OUTPUT FILE:      miniSpartan6_plus_top_pad.csv
#PART TYPE:        xc6slx9
#SPEED GRADE:      -3
#PACKAGE:          ftg256
#
# Pinout by Pin Number:
# 
# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,IO Register,Signal Integrity,
C16,DRAM_DQ<14>,IOB,IO_L33N_A14_M1A4_1,BIDIR,LVTTL,1,12,FAST,,NONE,,LOCATED,YES,NONE,
D1,,IOBS,IO_L49N_M3A2_3,UNUSED,,3,,,,,,,,,
D2,,,VCCO_3,,,3,,,,,3.30,,,,
D3,,IOBM,IO_L49P_M3A7_3,UNUSED,,3,,,,,,,,,
D4,,,GND,,,,,,,,,,,,
D5,PORTE<0>,IOB,IO_L3P_0,BIDIR,LVTTL,0,12,SLOW,,NONE,,LOCATED,NO,NONE,
D6,,IOBM,IO_L7P_0,UNUSED,,0,,,,,,,,,
D7,,,VCCO_0,,,0,,,,,3.30,,,,
D8,PORTA<2>,IOB,IO_L38P_0,BIDIR,LVTTL,0,12,SLOW,,NONE,,LOCATED,NO,NONE,
D9,PORTA<4>,IOB,IO_L40N_0,BIDIR,LVTTL,0,12,SLOW,,NONE,,LOCATED,NO,NONE,
D10,,,VCCO_0,,,0,,,,,3.30,,,,
D11,,IOBM,IO_L66P_SCP1_0,UNUSED,,0,,,,,,,,,
D12,PORTB<2>,IOB,IO_L66N_SCP0_0,BIDIR,LVTTL,0,12,SLOW,,NONE,,LOCATED,NO,NONE,
D13,,,GND,,,,,,,,,,,,
D14,PORTB<1>,IOB,IO_L31P_A19_M1CKE_1,BIDIR,LVTTL,1,12,SLOW,,NONE,,LOCATED,NO,NONE,
D15,,,VCCO_1,,,1,,,,,3.30,,,,
D16,DRAM_DQ<11>,IOB,IO_L31N_A18_M1A12_1,BIDIR,LVTTL,1,12,FAST,,NONE,,LOCATED,YES,NONE,
E1,PORTF<1>,IOB,IO_L46N_M3CLKN_3,BIDIR,LVTTL,3,12,SLOW,,NONE,,LOCATED,NO,NONE,
E2,PORTF<0>,IOB,IO_L46P_M3CLK_3,BIDIR,LVTTL,3,12,SLOW,,NONE,,LOCATED,NO,NONE,
E3,,IOBS,IO_L54N_M3A11_3,UNUSED,,3,,,,,,,,,
E4,PORTF<2>,IOB,IO_L54P_M3RESET_3,BIDIR,LVTTL,3,12,SLOW,,NONE,,LOCATED,NO,NONE,
E5,,,VCCAUX,,,,,,,,2.5,,,,
E6,,IOBS,IO_L5N_0,UNUSED,,0,,,,,,,,,
E7,PORTA<0>,IOB,IO_L36P_GCLK15_0,BIDIR,LVTTL,0,12,SLOW,,NONE,,LOCATED,NO,NONE,
E8,PORTA<3>,IOB,IO_L36N_GCLK14_0,BIDIR,LVTTL,0,12,SLOW,,NONE,,LOCATED,NO,NONE,
E9,,,GND,,,,,,,,,,,,
E10,,IOBM,IO_L37P_GCLK13_0,UNUSED,,0,,,,,,,,,
E11,PORTB<0>,IOB,IO_L64N_SCP4_0,BIDIR,LVTTL,0,12,SLOW,,NONE,,LOCATED,NO,NONE,
E12,PORTB<3>,IOB,IO_L1N_A24_VREF_1,BIDIR,LVTTL,1,12,SLOW,,NONE,,LOCATED,NO,NONE,
E13,PORTB<4>,IOB,IO_L1P_A25_1,BIDIR,LVTTL,1,12,SLOW,,NONE,,LOCATED,NO,NONE,
E14,,,TDO,,,,,,,,,,,,
E15,DRAM_DQ<9>,IOB,IO_L34P_A13_M1WE_1,BIDIR,LVTTL,1,12,FAST,,NONE,,LOCATED,YES,NONE,
E16,DRAM_DQ<10>,IOB,IO_L34N_A12_M1BA2_1,BIDIR,LVTTL,1,12,FAST,,NONE,,LOCATED,YES,NONE,
F1,,IOBS,IO_L41N_GCLK26_M3DQ5_3,UNUSED,,3,,,,,,,,,
F2,,IOBM,IO_L41P_GCLK27_M3DQ4_3,UNUSED,,3,,,,,,,,,
F3,PORTF<6>,IOB,IO_L53N_M3A12_3,BIDIR,LVTTL,3,12,SLOW,,NONE,,LOCATED,NO,NONE,
F4,PORTF<3>,IOB,IO_L53P_M3CKE_3,BIDIR,LVTTL,3,12,SLOW,,NONE,,LOCATED,NO,NONE,
F5,PORTF<4>,IOB,IO_L55N_M3A14_3,BIDIR,LVTTL,3,12,SLOW,,NONE,,LOCATED,NO,NONE,
F6,,IOBM,IO_L55P_M3A13_3,UNUSED,,3,,,,,,,,,
F7,,IOBM,IO_L5P_0,UNUSED,,0,,,,,,,,,
F8,,,VCCAUX,,,,,,,,2.5,,,,
F9,,IOBM,IO_L40P_0,UNUSED,,0,,,,,,,,,
F10,,IOBM,IO_L64P_SCP5_0,UNUSED,,0,,,,,,,,,
F11,,,VCCAUX,,,,,,,,2.5,,,,
F12,PORTB<6>,IOB,IO_L30P_A21_M1RESET_1,BIDIR,LVTTL,1,12,SLOW,,NONE,,LOCATED,NO,NONE,
F13,PORTB<5>,IOB,IO_L32P_A17_M1A8_1,BIDIR,LVTTL,1,12,SLOW,,NONE,,LOCATED,NO,NONE,
F14,PORTB<7>,IOB,IO_L32N_A16_M1A9_1,BIDIR,LVTTL,1,12,SLOW,,NONE,,LOCATED,NO,NONE,
F15,DRAM_DQM<1>,IOB,IO_L35P_A11_M1A7_1,OUTPUT,LVTTL,1,12,FAST,,,,LOCATED,YES,NONE,
F16,DRAM_DQ<8>,IOB,IO_L35N_A10_M1A2_1,BIDIR,LVTTL,1,12,FAST,,NONE,,LOCATED,YES,NONE,
G1,PORTF<7>,IOB,IO_L40N_M3DQ7_3,BIDIR,LVTTL,3,12,SLOW,,NONE,,LOCATED,NO,NONE,
G2,,,GND,,,,,,,,,,,,
G3,PORTF<5>,IOB,IO_L40P_M3DQ6_3,BIDIR,LVTTL,3,12,SLOW,,NONE,,LOCATED,NO,NONE,
G4,,,VCCO_3,,,3,,,,,3.30,,,,
G5,PORTE<2>,IOB,IO_L51N_M3A4_3,BIDIR,LVTTL,3,12,SLOW,,NONE,,LOCATED,NO,NONE,
G6,,IOBM,IO_L51P_M3A10_3,UNUSED,,3,,,,,,,,,
G7,,,VCCINT,,,,,,,,1.2,,,,
G8,,,GND,,,,,,,,,,,,
G9,,,VCCINT,,,,,,,,1.2,,,,
G10,,,VCCAUX,,,,,,,,2.5,,,,
G11,,IOBS,IO_L30N_A20_M1A11_1,UNUSED,,1,,,,,,,,,
G12,,IOBM,IO_L38P_A5_M1CLK_1,UNUSED,,1,,,,,,,,,
G13,,,VCCO_1,,,1,,,,,3.30,,,,
G14,,IOBM,IO_L36P_A9_M1BA0_1,UNUSED,,1,,,,,,,,,
G15,,,GND,,,,,,,,,,,,
G16,DRAM_CLK,IOB,IO_L36N_A8_M1BA1_1,OUTPUT,LVTTL,1,12,FAST,,,,LOCATED,YES,NONE,
H1,,IOBS,IO_L39N_M3LDQSN_3,UNUSED,,3,,,,,,,,,
H2,,IOBM,IO_L39P_M3LDQS_3,UNUSED,,3,,,,,,,,,
H3,,IOBS,IO_L44N_GCLK20_M3A6_3,UNUSED,,3,,,,,,,,,
H4,,IOBM,IO_L44P_GCLK21_M3A5_3,UNUSED,,3,,,,,,,,,
H5,,IOBS,IO_L43N_GCLK22_IRDY2_M3CASN_3,UNUSED,,3,,,,,,,,,
H6,,,VCCAUX,,,,,,,,2.5,,,,
H7,,,GND,,,,,,,,,,,,
H8,,,VCCINT,,,,,,,,1.2,,,,
H9,,,GND,,,,,,,,,,,,
H10,,,VCCINT,,,,,,,,1.2,,,,
H11,,IOBS,IO_L38N_A4_M1CLKN_1,UNUSED,,1,,,,,,,,,
H12,,,GND,,,,,,,,,,,,
H13,,IOBM,IO_L39P_M1A3_1,UNUSED,,1,,,,,,,,,
H14,,IOBS,IO_L39N_M1ODT_1,UNUSED,,1,,,,,,,,,
H15,DRAM_ADDR<12>,IOB,IO_L37P_A7_M1A0_1,OUTPUT,LVTTL,1,12,FAST,,,,LOCATED,NO,NONE,
H16,DRAM_CKE,IOB,IO_L37N_A6_M1A1_1,OUTPUT,LVTTL,1,12,FAST,,,,LOCATED,NO,NONE,
J1,,IOBS,IO_L38N_M3DQ3_3,UNUSED,,3,,,,,,,,,
J2,,,VCCO_3,,,3,,,,,3.30,,,,
J3,,IOBM,IO_L38P_M3DQ2_3,UNUSED,,3,,,,,,,,,
J4,CLK,IOB,IO_L42N_GCLK24_M3LDM_3,INPUT,LVTTL,3,,,,NONE,,LOCATED,NO,NONE,
J5,,,GND,,,,,,,,,,,,
J6,,IOBM,IO_L43P_GCLK23_M3RASN_3,UNUSED,,3,,,,,,,,,
J7,,,VCCINT,,,,,,,,1.2,,,,
J8,,,GND,,,,,,,,,,,,
J9,,,VCCINT,,,,,,,,1.2,,,,
J10,,,VCCAUX,,,,,,,,2.5,,,,
J11,,IOBM,IO_L40P_GCLK11_M1A5_1,UNUSED,,1,,,,,,,,,
J12,PORTC<1>,IOB,IO_L40N_GCLK10_M1A6_1,BIDIR,LVTTL,1,12,SLOW,,NONE,,LOCATED,NO,NONE,
J13,PORTC<0>,IOB,IO_L41P_GCLK9_IRDY1_M1RASN_1,BIDIR,LVTTL,1,12,SLOW,,NONE,,LOCATED,NO,NONE,
J14,,IOBM,IO_L43P_GCLK5_M1DQ4_1,UNUSED,,1,,,,,,,,,
J15,,,VCCO_1,,,1,,,,,3.30,,,,
J16,DRAM_ADDR<11>,IOB,IO_L43N_GCLK4_M1DQ5_1,OUTPUT,LVTTL,1,12,FAST,,,,LOCATED,YES,NONE,
K1,,IOBS,IO_L37N_M3DQ1_3,UNUSED,,3,,,,,,,,,
K2,,IOBM,IO_L37P_M3DQ0_3,UNUSED,,3,,,,,,,,,
K3,,IOBM,IO_L42P_GCLK25_TRDY2_M3UDM_3,UNUSED,,3,,,,,,,,,
K4,,,VCCO_3,,,3,,,,,3.30,,,,
K5,,IOBM,IO_L47P_M3A0_3,UNUSED,,3,,,,,,,,,
K6,,IOBS,IO_L47N_M3A1_3,UNUSED,,3,,,,,,,,,
K7,,,GND,,,,,,,,,,,,
K8,,,VCCINT,,,,,,,,1.2,,,,
K9,,,GND,,,,,,,,,,,,
K10,,,VCCINT,,,,,,,,1.2,,,,
K11,,IOBS,IO_L42N_GCLK6_TRDY1_M1LDM_1,UNUSED,,1,,,,,,,,,
K12,,IOBM,IO_L42P_GCLK7_M1UDM_1,UNUSED,,1,,,,,,,,,
K13,,,VCCO_1,,,1,,,,,3.30,,,,
K14,PORTC<2>,IOB,IO_L41N_GCLK8_M1CASN_1,BIDIR,LVTTL,1,12,SLOW,,NONE,,LOCATED,NO,NONE,
K15,DRAM_ADDR<8>,IOB,IO_L44P_A3_M1DQ6_1,OUTPUT,LVTTL,1,12,FAST,,,,LOCATED,YES,NONE,
K16,DRAM_ADDR<9>,IOB,IO_L44N_A2_M1DQ7_1,OUTPUT,LVTTL,1,12,FAST,,,,LOCATED,YES,NONE,
L1,,IOBS,IO_L36N_M3DQ9_3,UNUSED,,3,,,,,,,,,
L2,,,GND,,,,,,,,,,,,
L3,,IOBM,IO_L36P_M3DQ8_3,UNUSED,,3,,,,,,,,,
L4,,IOBM,IO_L45P_M3A3_3,UNUSED,,3,,,,,,,,,
L5,,IOBS,IO_L45N_M3ODT_3,UNUSED,,3,,,,,,,,,
L6,,,VCCAUX,,,,,,,,2.5,,,,
L7,,IOBS,IO_L62N_D6_2,UNUSED,,2,,,,,,,,,
L8,,IOBM,IO_L62P_D5_2,UNUSED,,2,,,,,,,,,
L9,,,VCCAUX,,,,,,,,2.5,,,,
L10,,IOBM,IO_L16P_2,UNUSED,,2,,,,,,,,,
L11,,,CMPCS_B_2,,,,,,,,,,,,
L12,,IOBM,IO_L53P_1,UNUSED,,1,,,,,,,,,
L13,PORTC<4>,IOB,IO_L53N_VREF_1,BIDIR,LVTTL,1,12,SLOW,,NONE,,LOCATED,NO,NONE,
L14,PORTC<3>,IOB,IO_L47P_FWE_B_M1DQ0_1,BIDIR,LVTTL,1,12,SLOW,,NONE,,LOCATED,NO,NONE,
L15,,,GND,,,,,,,,,,,,
L16,DRAM_ADDR<7>,IOB,IO_L47N_LDC_M1DQ1_1,OUTPUT,LVTTL,1,12,FAST,,,,LOCATED,YES,NONE,
M1,,IOBS,IO_L35N_M3DQ11_3,UNUSED,,3,,,,,,,,,
M2,,IOBM,IO_L35P_M3DQ10_3,UNUSED,,3,,,,,,,,,
M3,,IOBS,IO_L1N_VREF_3,UNUSED,,3,,,,,,,,,
M4,,IOBM,IO_L1P_3,UNUSED,,3,,,,,,,,,
M5,,IOBM,IO_L2P_3,UNUSED,,3,,,,,,,,,
M6,,IOBM,IO_L64P_D8_2,UNUSED,,2,,,,,,,,,
M7,RXD,IOB,IO_L31N_GCLK30_D15_2,INPUT,LVTTL,2,,,,NONE,,LOCATED,NO,NONE,
M8,,,GND,,,,,,,,,,,,
M9,LEDS<2>,IOB,IO_L29P_GCLK3_2,BIDIR,LVTTL,2,8,SLOW,,NONE,,LOCATED,NO,NONE,
M10,,IOBS,IO_L16N_VREF_2,UNUSED,,2,,,,,,,,,
M11,,IOBS,IO_L2N_CMPMOSI_2,UNUSED,,2,,,,,,,,,
M12,,IOBM,IO_L2P_CMPCLK_2,UNUSED,,2,,,,,,,,,
M13,PORTC<6>,IOB,IO_L74P_AWAKE_1,BIDIR,LVTTL,1,12,SLOW,,NONE,,LOCATED,NO,NONE,
M14,PORTC<5>,IOB,IO_L74N_DOUT_BUSY_1,BIDIR,LVTTL,1,12,SLOW,,NONE,,LOCATED,NO,NONE,
M15,DRAM_ADDR<5>,IOB,IO_L46P_FCS_B_M1DQ2_1,OUTPUT,LVTTL,1,12,FAST,,,,LOCATED,YES,NONE,
M16,DRAM_ADDR<6>,IOB,IO_L46N_FOE_B_M1DQ3_1,OUTPUT,LVTTL,1,12,FAST,,,,LOCATED,YES,NONE,
N1,,IOBS,IO_L34N_M3UDQSN_3,UNUSED,,3,,,,,,,,,
N2,,,VCCO_3,,,3,,,,,3.30,,,,
N3,,IOBM,IO_L34P_M3UDQS_3,UNUSED,,3,,,,,,,,,
N4,,IOBS,IO_L2N_3,UNUSED,,3,,,,,,,,,
N5,,IOBM,IO_L49P_D3_2,UNUSED,,2,,,,,,,,,
N6,TXD,IOB,IO_L64N_D9_2,OUTPUT,LVTTL,2,8,FAST,,,,LOCATED,NO,NONE,
N7,,,VCCO_2,,,2,,,,,3.30,,,,
N8,LEDS<5>,IOB,IO_L29N_GCLK2_2,BIDIR,LVTTL,2,8,SLOW,,NONE,,LOCATED,NO,NONE,
N9,LEDS<1>,IOB,IO_L14P_D11_2,BIDIR,LVTTL,2,8,SLOW,,NONE,,LOCATED,NO,NONE,
N10,,,VCCO_2,,,2,,,,,3.30,,,,
N11,,IOBM,IO_L13P_M1_2,UNUSED,,2,,,,,,,,,
N12,,IOBM,IO_L12P_D1_MISO2_2,UNUSED,,2,,,,,,,,,
N13,,,GND,,,,,,,,,,,,
N14,PORTC<7>,IOB,IO_L45P_A1_M1LDQS_1,BIDIR,LVTTL,1,12,SLOW,,NONE,,LOCATED,NO,NONE,
N15,,,VCCO_1,,,1,,,,,3.30,,,,
N16,DRAM_ADDR<4>,IOB,IO_L45N_A0_M1LDQSN_1,OUTPUT,LVTTL,1,12,FAST,,,,LOCATED,YES,NONE,
P1,,IOBS,IO_L33N_M3DQ13_3,UNUSED,,3,,,,,,,,,
P2,,IOBM,IO_L33P_M3DQ12_3,UNUSED,,3,,,,,,,,,
P3,,,GND,,,,,,,,,,,,
P4,,IOBM,IO_L63P_2,UNUSED,,2,,,,,,,,,
P5,,IOBS,IO_L49N_D4_2,UNUSED,,2,,,,,,,,,
P6,,IOBM,IO_L47P_2,UNUSED,,2,,,,,,,,,
P7,LEDS<7>,IOB,IO_L31P_GCLK31_D14_2,BIDIR,LVTTL,2,8,SLOW,,NONE,,LOCATED,NO,NONE,
P8,LEDS<6>,IOB,IO_L30P_GCLK1_D13_2,BIDIR,LVTTL,2,8,SLOW,,NONE,,LOCATED,NO,NONE,
P9,LEDS<3>,IOB,IO_L14N_D12_2,BIDIR,LVTTL,2,8,SLOW,,NONE,,LOCATED,NO,NONE,
P10,SPI_MISO,IOB,IO_L3P_D0_DIN_MISO_MISO1_2,INPUT,LVTTL,2,,,PULLUP,NONE,,LOCATED,NO,NONE,
P11,LEDS<0>,IOB,IO_L13N_D10_2,BIDIR,LVTTL,2,8,SLOW,,NONE,,LOCATED,NO,NONE,
P12,,IOBS,IO_L12N_D2_MISO3_2,UNUSED,,2,,,,,,,,,
P13,,,DONE_2,,,,,,,,,,,,
P14,,,SUSPEND,,,,,,,,,,,,
P15,DRAM_ADDR<2>,IOB,IO_L48P_HDC_M1DQ8_1,OUTPUT,LVTTL,1,12,FAST,,,,LOCATED,YES,NONE,
P16,DRAM_ADDR<3>,IOB,IO_L48N_M1DQ9_1,OUTPUT,LVTTL,1,12,FAST,,,,LOCATED,YES,NONE,
R1,DRAM_CS_N,IOB,IO_L32N_M3DQ15_3,OUTPUT,LVTTL,3,12,FAST,,,,LOCATED,NO,NONE,
R2,DRAM_RAS_N,IOB,IO_L32P_M3DQ14_3,OUTPUT,LVTTL,3,12,FAST,,,,LOCATED,YES,NONE,
R3,,IOBM,IO_L65P_INIT_B_2,UNUSED,,2,,,,,,,,,
R4,,,VCCO_2,,,2,,,,,3.30,,,,
R5,DRAM_WE_N,IOB,IO_L48P_D7_2,OUTPUT,LVTTL,2,12,FAST,,,,LOCATED,YES,NONE,
R6,,,GND,,,,,,,,,,,,
R7,DRAM_DQ<6>,IOB,IO_L32P_GCLK29_2,BIDIR,LVTTL,2,12,FAST,,NONE,,LOCATED,YES,NONE,
R8,,,VCCO_2,,,2,,,,,3.30,,,,
R9,DRAM_DQ<4>,IOB,IO_L23P_2,BIDIR,LVTTL,2,12,FAST,,NONE,,LOCATED,YES,NONE,
R10,,,GND,,,,,,,,,,,,
R11,SPI_SCK,IOB,IO_L1P_CCLK_2,OUTPUT,LVTTL,2,8,FAST,,,,LOCATED,NO,NONE,
R12,DRAM_DQ<2>,IOB,IO_L52P_M1DQ14_1,BIDIR,LVTTL,1,12,FAST,,NONE,,LOCATED,YES,NONE,
R13,,,VCCO_1,,,1,,,,,3.30,,,,
R14,DRAM_BA<0>,IOB,IO_L50P_M1UDQS_1,OUTPUT,LVTTL,1,12,FAST,,,,LOCATED,YES,NONE,
R15,DRAM_ADDR<10>,IOB,IO_L49P_M1DQ10_1,OUTPUT,LVTTL,1,12,FAST,,,,LOCATED,YES,NONE,
R16,DRAM_ADDR<1>,IOB,IO_L49N_M1DQ11_1,OUTPUT,LVTTL,1,12,FAST,,,,LOCATED,YES,NONE,
T1,,,GND,,,,,,,,,,,,
T2,,,PROGRAM_B_2,,,,,,,,,,,,
T3,SPI_CS,IOB,IO_L65N_CSO_B_2,OUTPUT,LVTTL,2,8,FAST,,,,LOCATED,NO,NONE,
T4,DRAM_CAS_N,IOB,IO_L63N_2,OUTPUT,LVTTL,2,12,FAST,,,,LOCATED,YES,NONE,
T5,DRAM_DQM<0>,IOB,IO_L48N_RDWR_B_VREF_2,OUTPUT,LVTTL,2,12,FAST,,,,LOCATED,YES,NONE,
T6,DRAM_DQ<7>,IOB,IO_L47N_2,BIDIR,LVTTL,2,12,FAST,,NONE,,LOCATED,YES,NONE,
T7,DRAM_DQ<5>,IOB,IO_L32N_GCLK28_2,BIDIR,LVTTL,2,12,FAST,,NONE,,LOCATED,YES,NONE,
T8,LEDS<4>,IOB,IO_L30N_GCLK0_USERCCLK_2,BIDIR,LVTTL,2,8,SLOW,,NONE,,LOCATED,NO,NONE,
T9,DRAM_DQ<3>,IOB,IO_L23N_2,BIDIR,LVTTL,2,12,FAST,,NONE,,LOCATED,YES,NONE,
T10,SPI_MOSI,IOB,IO_L3N_MOSI_CSI_B_MISO0_2,OUTPUT,LVTTL,2,8,FAST,,,,LOCATED,NO,NONE,
T11,,IOBS,IO_L1N_M0_CMPMISO_2,UNUSED,,2,,,,,,,,,
T12,DRAM_DQ<1>,IOB,IO_L52N_M1DQ15_1,BIDIR,LVTTL,1,12,FAST,,NONE,,LOCATED,YES,NONE,
T13,DRAM_DQ<0>,IOB,IO_L51N_M1DQ13_1,BIDIR,LVTTL,1,12,FAST,,NONE,,LOCATED,YES,NONE,
T14,DRAM_BA<1>,IOB,IO_L51P_M1DQ12_1,OUTPUT,LVTTL,1,12,FAST,,,,LOCATED,YES,NONE,
T15,DRAM_ADDR<0>,IOB,IO_L50N_M1UDQSN_1,OUTPUT,LVTTL,1,12,FAST,,,,LOCATED,YES,NONE,
T16,,,GND,,,,,,,,,,,,

# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
# 
#* Default value.
#** This default Pullup/Pulldown value can be overridden in Bitgen. 
#****** Special VCCO requirements may apply. Please consult the device 
#       family datasheet for specific guideline on VCCO requirements. 
#
#
#
